emailAddress,link,name,ratings,reviews,address,phone,number
mailto:globalcopyny@yahoo.com,https://www.yellowpages.com/new-york-ny/mip/global-copy-2988131?lid=1000106255864,Global Copy,rating-stars three  ,(2 Reviews) (1) (1) (1)(0)(0),"2578 Broadway, New York, NY 10025",(212) 222-2679,27
,https://www.yellowpages.com/new-york-ny/mip/printing-inc-10336075,,rating-stars zero  ,(1),"520 W 47th St, New York, NY 10036",(212) 581-4633,
mailto:info@epicsecurity.com,https://www.yellowpages.com/new-york-ny/mip/epic-security-corp-21732807?lid=1001642523488,,rating-stars five  ,(5 Reviews) (11)(0)(0)(0)(0)(0),"2067 Broadway, New York, NY 10023",(212) 580-3434,
mailto:globalcopyny@yahoo.com,https://www.yellowpages.com/new-york-ny/mip/global-copy-2988131?lid=1000106255864,,rating-stars three  ,(2 Reviews) (1) (1) (1)(0)(0),"2578 Broadway, New York, NY 10025",(212) 222-2679,27
mailto:accinc552@yahoo.com,https://www.yellowpages.com/new-york-ny/mip/advanced-copy-center-inc-8780131?lid=1002004274057,,rating-stars five  ,(1 Review) (1)(0),"552 Laguardia Pl Ph 1, New York, NY 10012",(917) 920-3058,25
,https://www.yellowpages.com/new-york-ny/mip/global-copy-480009177?lid=187787065,,rating-stars five  ,(1 Review)(0),"2578 Broadway, New York, NY 10025",(212) 222-2679,27
mailto:sales@cityprintingny.com,https://www.yellowpages.com/new-york-ny/mip/city-printing-and-signs-476263970?lid=1000408680072,,rating-stars five  ,(2 Reviews)(0)(0),"163 W 35th St, New York, NY 10001",(212) 564-1017,6
mailto:123customprint@verizon.net,https://www.yellowpages.com/new-york-ny/mip/a-pro-image-549828146?lid=1002004639771,,rating-stars zero  , (3),"4251 8th Ave, New York, NY 10001",(201) 591-5847,33
mailto:shieldpress@yahoo.com,https://www.yellowpages.com/new-york-ny/mip/shield-press-inc-464952582?lid=1001780774438,,rating-stars zero  ,,"9 Lispenard St, New York, NY 10013",(212) 431-7489,
mailto:sam@paperhood.com,https://www.yellowpages.com/new-york-ny/mip/paperhood-heat-transfer-paper-supplies-21714530?lid=1000116812472,,rating-stars five  ,(3 Reviews)(0)(0)(0),"38 W 32nd St, New York, NY 10001",(212) 279-0650,13
mailto:photomission@earthlink.net,https://www.yellowpages.com/new-york-ny/mip/photo-mission-ltd-522185339?lid=1001845646064,,rating-stars five  ,(1 Review) (12)(0),"22 East 40th St. , New York, NY 10016",(212) 993-8800,19
mailto:randomhouse@randomhouse.com,https://www.yellowpages.com/new-york-ny/mip/crown-publishers-inc-480289287?lid=1001780789437,,rating-stars zero  ,,"1745 Broadway, New York, NY 10019",(347) 348-0038,94
mailto:sales@quickerprint.com,https://www.yellowpages.com/new-york-ny/mip/quicker-print-462501867,,rating-stars five  ,(2 Reviews)(0)(0)(1)(18),"1515 Broadway, New York, NY 10036",(518) 569-2522,
mailto:brooklyn@minutemanpress.com,https://www.yellowpages.com/brooklyn-ny/mip/minuteman-press-2844822,,rating-stars four  ,(1 Review) (1)(0)(1),"305 Atlantic Ave, Brooklyn, NY 11201",(718) 408-3596,44
mailto:shuja@printfacility.com,https://www.yellowpages.com/jersey-city-nj/mip/printfacility-201-432-465586898,,rating-stars one  ,(1 Review) (1)(0)(2)(2)(1),"629 Grove St, Jersey City, NJ 07310",(201) 432-6690,18
,https://www.yellowpages.com/new-york-ny/mip/apm-451909424,,rating-stars zero  ,,"240 Madison Ave Fl 11, New York, NY 10016",(212) 856-9800,
,https://www.yellowpages.com/new-york-ny/mip/floss-media-networks-inc-3166903,,rating-stars zero  ,,"36 W 36th St, New York, NY 10018",(212) 242-4341,
,https://www.yellowpages.com/new-york-ny/mip/send-two-print-ny-461048559,,rating-stars zero  ,,"330 Audubon Ave, New York, NY 10033",(646) 476-9890,
mailto:j_m@chipotle.com,https://www.yellowpages.com/new-york-ny/mip/chickprint-corp-470923881,,rating-stars zero  , (1)(17),"150 E 44th St Apt 34f, New York, NY 10017",(212) 682-9811,15
mailto:Info@Thecopyspecialist.Com,https://www.yellowpages.com/new-york-ny/mip/copy-specialists-481462292,,,,"44 E 21st St, New York, NY 10010",(646) 336-6999,33
